Sewer Level,
Timestamp,Value
8/18/2017 0:05,531.78057
8/18/2017 0:20,531.87145
8/18/2017 0:35,532.01146
8/18/2017 0:50,532.19728
8/18/2017 1:05,532.42493
8/18/2017 1:20,532.68981
8/18/2017 1:35,532.98687
8/18/2017 1:50,533.31059
8/18/2017 2:05,533.65518
8/18/2017 2:20,534.01457
8/18/2017 2:35,534.38255
8/18/2017 2:50,534.75282
8/18/2017 3:05,535.11908
8/18/2017 3:20,535.47512
8/18/2017 3:35,535.81485
8/18/2017 3:50,536.13242
8/18/2017 4:05,536.42228
8/18/2017 4:20,536.67922
8/18/2017 4:35,536.89846
8/18/2017 4:50,537.07571
8/18/2017 5:05,537.20724
8/18/2017 5:20,537.28993
8/18/2017 5:35,537.32134
8/18/2017 5:50,537.29973
8/18/2017 6:05,537.22418
8/18/2017 6:20,537.09458
8/18/2017 6:35,536.91173
8/18/2017 6:50,536.67734
8/18/2017 7:05,536.39412
8/18/2017 7:20,536.06581
8/18/2017 7:35,535.69721
8/18/2017 7:50,535.29424
8/18/2017 8:05,534.86398
8/18/2017 8:20,534.41468
8/18/2017 8:35,533.95583
8/18/2017 8:50,533.49557
8/18/2017 9:05,533.03544
8/18/2017 9:20,532.57666
8/18/2017 9:35,532.1214
8/18/2017 9:50,531.67256
8/18/2017 10:05,531.23364
8/18/2017 10:20,530.80853
8/18/2017 10:35,530.40138
8/18/2017 10:50,530.01646
8/18/2017 11:05,529.65802
8/18/2017 11:20,529.33017
8/18/2017 11:35,529.03677
8/18/2017 11:50,528.78137
8/18/2017 12:05,528.56705
8/18/2017 12:20,528.39641
8/18/2017 12:35,528.2715
8/18/2017 12:50,528.19373
8/18/2017 13:05,528.16388
8/18/2017 13:20,528.18203
8/18/2017 13:35,528.24757
8/18/2017 13:50,528.3592
8/18/2017 14:05,528.51489
8/18/2017 14:20,528.71196
8/18/2017 14:35,528.94707
8/18/2017 14:50,529.21626
8/18/2017 15:05,529.51503
8/18/2017 15:20,529.83837
8/18/2017 15:35,530.18084
8/18/2017 15:50,530.53669
8/18/2017 16:05,530.89993
8/18/2017 16:20,531.26441
8/18/2017 16:35,531.62401
8/18/2017 16:50,531.97271
8/18/2017 17:05,532.30477
8/18/2017 17:20,532.61487
8/18/2017 17:35,532.89826
8/18/2017 17:50,533.15097
8/18/2017 18:05,533.37
8/18/2017 18:20,533.55347
8/18/2017 18:35,533.70088
8/18/2017 18:50,533.81332
8/18/2017 19:05,533.89371
8/18/2017 19:20,533.94703
8/18/2017 19:35,533.98059
8/18/2017 19:50,534.0043
8/18/2017 20:05,534.03126
8/18/2017 20:20,534.07553
8/18/2017 20:35,534.14815
8/18/2017 20:50,534.25707
8/18/2017 21:05,534.4075
8/18/2017 21:20,534.6022
8/18/2017 21:35,534.84179
8/18/2017 21:50,535.12502
8/18/2017 22:05,535.44906
8/18/2017 22:20,535.80973
8/18/2017 22:35,536.20177
8/18/2017 22:50,536.61903
8/18/2017 23:05,537.05474
8/18/2017 23:20,537.50166
8/18/2017 23:35,537.95226
8/18/2017 23:50,538.39896
8/19/2017 0:05,538.83421
8/19/2017 0:20,539.25066
8/19/2017 0:35,539.64131
8/19/2017 0:50,539.99961
8/19/2017 1:05,540.31955
8/19/2017 1:20,540.59577
8/19/2017 1:35,540.82361
8/19/2017 1:50,540.99918
8/19/2017 2:05,541.11942
8/19/2017 2:20,541.1821
8/19/2017 2:35,541.18587
8/19/2017 2:50,541.13023
8/19/2017 3:05,541.01556
8/19/2017 3:20,540.84305
8/19/2017 3:35,540.61468
8/19/2017 3:50,540.33319
8/19/2017 4:05,540.00198
8/19/2017 4:20,539.62504
8/19/2017 4:35,539.20685
8/19/2017 4:50,538.7523
8/19/2017 5:05,538.26652
8/19/2017 5:20,537.75478
8/19/2017 5:35,537.22231
8/19/2017 5:50,536.67416
8/19/2017 6:05,536.11502
8/19/2017 6:20,535.549
8/19/2017 6:35,534.97944
8/19/2017 6:50,534.40871
8/19/2017 7:05,533.83792
8/19/2017 7:20,533.26722
8/19/2017 7:35,532.69744
8/19/2017 7:50,532.13066
8/19/2017 8:05,531.57
8/19/2017 8:20,531.01936
8/19/2017 8:35,530.48327
8/19/2017 8:35,529.96666
8/19/2017 8:50,529.47467
8/19/2017 9:05,529.01253
8/19/2017 9:20,528.58535
8/19/2017 9:35,528.19803
8/19/2017 9:50,527.85512
8/19/2017 10:05,527.56068
8/19/2017 10:20,527.31825
8/19/2017 10:35,527.13068
8/19/2017 10:50,527.00014
8/19/2017 11:05,526.92801
8/19/2017 11:20,526.91487
8/19/2017 11:35,526.96045
8/19/2017 11:50,527.06363
8/19/2017 12:05,527.22244
8/19/2017 12:20,527.43405
8/19/2017 12:35,527.69482
8/19/2017 12:50,528.00035
8/19/2017 13:05,528.34549
8/19/2017 13:20,528.72447
8/19/2017 13:35,529.13091
8/19/2017 13:50,529.55798
8/19/2017 14:05,529.99847
8/19/2017 14:20,530.44494
8/19/2017 14:35,530.88982
8/19/2017 14:50,531.32559
8/19/2017 15:05,531.74494
8/19/2017 15:20,532.14095
8/19/2017 15:35,532.50726
8/19/2017 15:50,532.83831
8/19/2017 16:05,533.12952
8/19/2017 16:20,533.37757
8/19/2017 16:35,533.58058
8/19/2017 16:50,533.73845
8/19/2017 17:05,533.85308
8/19/2017 17:20,533.92866
8/19/2017 17:35,533.972
8/19/2017 17:50,533.99283
8/19/2017 18:05,534.00379
8/19/2017 18:20,534.00655
8/19/2017 18:35,533.98666
8/19/2017 18:50,533.93197
8/19/2017 19:05,533.83374
8/19/2017 19:20,533.68628
8/19/2017 19:35,533.48661
8/19/2017 19:50,533.23415
8/19/2017 20:05,532.93035
8/19/2017 20:20,532.57846
8/19/2017 20:35,532.18322
8/19/2017 20:50,531.75058
8/19/2017 21:05,531.28746
8/19/2017 21:20,530.80155
8/19/2017 21:35,530.30102
8/19/2017 21:50,529.79437
8/19/2017 22:05,529.29021
8/19/2017 22:20,528.79711
8/19/2017 22:35,528.32343
8/19/2017 22:50,527.87714
8/19/2017 23:05,527.46577
8/19/2017 23:20,527.09621
8/19/2017 23:35,526.77469
8/19/2017 23:50,526.50664
8/20/2017 0:05,526.29663
8/20/2017 0:20,526.14835
8/20/2017 0:35,526.06453
8/20/2017 0:50,526.04698
8/20/2017 1:05,526.09649
8/20/2017 1:20,526.21293
8/20/2017 1:35,526.39523
8/20/2017 1:50,526.6414
8/20/2017 2:05,526.94864
8/20/2017 2:20,527.31337
8/20/2017 2:35,527.7313
8/20/2017 2:50,528.19759
8/20/2017 3:05,528.70692
8/20/2017 3:20,529.2536
8/20/2017 3:35,529.83179
8/20/2017 3:50,530.43558
8/20/2017 4:05,531.05923
8/20/2017 4:20,531.69732
8/20/2017 4:35,532.34498
8/20/2017 4:50,532.99811
8/20/2017 5:05,533.65361
8/20/2017 5:20,534.30933
8/20/2017 5:35,534.95705
8/20/2017 5:50,535.58217
8/20/2017 6:05,536.17164
8/20/2017 6:20,536.71427
8/20/2017 6:35,537.20068
8/20/2017 6:50,537.62322
8/20/2017 7:05,537.9759
8/20/2017 7:20,538.25432
8/20/2017 7:35,538.45557
8/20/2017 7:50,538.57819
8/20/2017 8:05,538.62207
8/20/2017 8:20,538.58835
8/20/2017 8:35,538.47937
8/20/2017 8:50,538.29856
8/20/2017 9:05,538.05034
8/20/2017 9:20,537.74006
8/20/2017 9:35,537.3739
8/20/2017 9:50,536.95875
8/20/2017 10:05,536.50214
8/20/2017 10:20,536.01211
8/20/2017 10:35,535.49717
8/20/2017 10:50,534.96611
8/20/2017 11:05,534.42797
8/20/2017 11:20,533.8919
8/20/2017 11:35,533.36704
8/20/2017 11:50,532.86243
8/20/2017 12:05,532.3869
8/20/2017 12:20,531.94891
8/20/2017 12:35,531.55649
