date,value
8/18/2017 17:30,3.69814
8/18/2017 17:35,3.69513
8/18/2017 17:40,3.63417
8/18/2017 17:45,3.53526
8/18/2017 17:50,3.42651
8/18/2017 17:55,3.33827
8/18/2017 18:00,3.2969
8/18/2017 18:05,3.31805
8/18/2017 18:10,3.3997
8/18/2017 18:15,3.51445
8/18/2017 18:20,3.60053
8/18/2017 18:25,3.60626
8/18/2017 18:30,3.52606
8/18/2017 18:35,3.38561
8/18/2017 18:40,3.22635
8/18/2017 18:45,3.09283
8/18/2017 18:50,3.02258
8/18/2017 18:55,3.03875
8/18/2017 19:00,3.14541
8/18/2017 19:05,3.32549
8/18/2017 19:10,3.54165
8/18/2017 19:15,3.75644
8/18/2017 19:20,3.94458
8/18/2017 19:25,4.07531
8/18/2017 19:30,4.12446
8/18/2017 19:35,4.08428
8/18/2017 19:40,3.96765
8/18/2017 19:45,3.80665
8/18/2017 19:50,3.64549
8/18/2017 19:55,3.52774
8/18/2017 20:00,3.47799
8/18/2017 20:05,3.47857
8/18/2017 20:10,3.51915
8/18/2017 20:15,3.6436
8/18/2017 20:20,3.83969
8/18/2017 20:25,4.05771
8/18/2017 20:30,4.23817
8/18/2017 20:35,4.33177
8/18/2017 20:40,4.31184
8/18/2017 20:45,4.17911
8/18/2017 20:50,3.95883
8/18/2017 20:55,3.69031
8/18/2017 21:00,3.40866
8/18/2017 21:05,3.11233
8/18/2017 21:10,2.79795
8/18/2017 21:15,2.51085
8/18/2017 21:20,2.31185
8/18/2017 21:25,2.24772
8/18/2017 21:30,2.33335
8/18/2017 21:35,2.54564
8/18/2017 21:40,2.82906
8/18/2017 21:45,3.11303
8/18/2017 21:50,3.34089
8/18/2017 21:55,3.51049
8/18/2017 22:00,3.67458
8/18/2017 22:05,3.83787
8/18/2017 22:10,3.97623
8/18/2017 22:15,4.0616
8/18/2017 22:20,4.07508
8/18/2017 22:25,4.01455
8/18/2017 22:30,3.89658
8/18/2017 22:35,3.75261
8/18/2017 22:40,3.61967
8/18/2017 22:45,3.52527
8/18/2017 22:50,3.46687
8/18/2017 22:55,3.41448
8/18/2017 23:00,3.36604
8/18/2017 23:05,3.32903
8/18/2017 23:10,3.3105
8/18/2017 23:15,3.31402
8/18/2017 23:20,3.33811
8/18/2017 23:25,3.37611
8/18/2017 23:30,3.41769
8/18/2017 23:35,3.45175
8/18/2017 23:40,3.47085
8/18/2017 23:45,3.47718
8/18/2017 23:50,3.4921
8/18/2017 23:55,3.53936
8/19/2017 0:00,3.61638
8/19/2017 0:05,3.70419
8/19/2017 0:10,3.77891
8/19/2017 0:15,3.82015
8/19/2017 0:20,3.81632
8/19/2017 0:25,3.76679
8/19/2017 0:30,3.68103
8/19/2017 0:35,3.57466
8/19/2017 0:40,3.46228
8/19/2017 0:45,3.33461
8/19/2017 0:50,3.16519
8/19/2017 0:55,2.97183
8/19/2017 1:00,2.7976
8/19/2017 1:05,2.68676
8/19/2017 1:10,2.66838
8/19/2017 1:15,2.74781
8/19/2017 1:20,2.90592
8/19/2017 1:25,3.10603
8/19/2017 1:30,3.30868
8/19/2017 1:35,3.49411
8/19/2017 1:40,3.65527
8/19/2017 1:45,3.73975
8/19/2017 1:50,3.72376
8/19/2017 1:55,3.61855
8/19/2017 2:00,3.45832
8/19/2017 2:05,3.28894
8/19/2017 2:10,3.15757
8/19/2017 2:15,3.10312
8/19/2017 2:20,3.14761
8/19/2017 2:25,3.2884
8/19/2017 2:30,3.49124
8/19/2017 2:35,3.71298
8/19/2017 2:40,3.95279
8/19/2017 2:45,4.18125
8/19/2017 2:50,4.35143
8/19/2017 2:55,4.42353
8/19/2017 3:00,4.38033
8/19/2017 3:05,4.23372
8/19/2017 3:10,4.02209
8/19/2017 3:15,3.79871
8/19/2017 3:20,3.61111
8/19/2017 3:25,3.47131
8/19/2017 3:30,3.36112
8/19/2017 3:35,3.32646
8/19/2017 3:40,3.38644
8/19/2017 3:45,3.52156
8/19/2017 3:50,3.69096
8/19/2017 3:55,3.84674
8/19/2017 4:00,3.94553
8/19/2017 4:05,3.95727
8/19/2017 4:10,3.87111
8/19/2017 4:15,3.69853
8/19/2017 4:20,3.47368
8/19/2017 4:25,3.24912
8/19/2017 4:30,3.07623
8/19/2017 4:35,2.98857
8/19/2017 4:40,2.99798
8/19/2017 4:45,3.09436
8/19/2017 4:50,3.24839
8/19/2017 4:55,3.41721
8/19/2017 5:00,3.55312
8/19/2017 5:05,3.61517
8/19/2017 5:10,3.58382
8/19/2017 5:15,3.47851
8/19/2017 5:20,3.36922
8/19/2017 5:25,3.32151
8/19/2017 5:30,3.35566
8/19/2017 5:35,3.459
8/19/2017 5:40,3.59941
8/19/2017 5:45,3.73688
8/19/2017 5:50,3.83319
8/19/2017 5:55,3.85963
8/19/2017 6:00,3.80289
8/19/2017 6:05,3.66898
8/19/2017 6:10,3.48523
